PLAYER,TEAM,GP,MP,GV-MP,GRAV,PERIM_GV-MP,PERIM_GRAV,INTERIOR_GV-MP,INTERIOR_GRAV,OFF_POS_PERIM_GV-MP,OFF_POS_PERIM_GRAV,OFF_POS_INTERIOR_GV-MP,OFF_POS_INTERIOR_GRAV,PTS,REB,AST
Baylor Scheierman,BOS,77,18.6,359.1,0.4,26.2,-2.5,7.2,-18.7,283.5,1.6,42.2,-12.7,5.5,3.5,1.5
OG Anunoby,NYK,65,33.2,562.2,0.4,42.7,-1.6,24.0,-13.4,384.3,2.7,111.1,-10.1,16.7,5.2,2.2
Noah Clowney,BKN,66,27.0,442.4,0.2,39.7,1.5,15.0,-14.0,323.3,1.4,64.4,-10.3,12.3,4.1,1.6
Cason Wallace,OKC,76,26.7,459.1,0.2,52.3,-0.5,18.5,-17.3,290.8,3.0,97.5,-13.7,8.6,3.0,2.6
Kobe Brown,IND,59,15.7,217.6,0.1,21.2,-2.0,8.0,-10.9,148.8,1.8,39.6,-5.1,5.7,3.0,1.3
Gui Santos,GSW,68,20.6,314.9,0.1,37.2,-3.7,17.3,-16.7,184.3,4.4,76.1,-15.9,9.2,3.9,2.3
Rui Hachimura,LAL,68,28.3,418.0,0.1,20.0,-2.0,12.1,-10.1,345.0,1.2,40.9,-10.2,11.5,3.3,0.8
Alperen Sengun,HOU,72,33.3,591.3,0.1,105.3,0.3,81.1,-5.7,204.3,2.4,200.5,-5.0,20.4,8.9,6.2
Jaylon Tyson,CLE,65,27.1,393.4,0.0,34.3,-0.7,14.8,-19.4,265.8,2.7,78.4,-13.4,13.2,5.1,2.2
Royce O'Neale,PHX,78,28.4,532.3,-0.0,54.6,-3.8,8.7,-33.7,427.7,1.6,41.2,-26.2,9.8,4.8,2.7
Julius Randle,MIN,78,33.0,570.1,-0.1,100.7,1.2,62.5,-6.0,306.4,1.4,100.4,-5.1,21.0,6.8,5.1
Jay Huff,IND,81,21.1,409.9,-0.1,29.6,4.9,9.7,-6.8,229.2,1.4,141.4,-5.4,9.6,4.0,1.5
Kyle Filipowski,UTA,76,23.3,417.6,-0.1,43.1,1.5,21.5,-13.0,267.0,1.7,85.9,-9.7,11.4,7.2,2.6
Jordan Goodwin,PHX,70,22.5,377.8,-0.2,43.5,-2.4,10.6,-17.4,257.6,1.6,66.1,-14.5,8.7,4.9,2.2
Nikola Vučević,BOS,63,28.4,442.8,-0.2,47.8,4.2,28.8,-7.7,214.7,1.3,151.6,-5.6,15.1,8.4,3.3
Isaac Okoro,CHI,62,27.0,386.4,-0.3,24.1,-5.0,11.7,-12.3,269.8,1.2,80.8,-11.2,9.4,2.7,1.6
Hugo González,BOS,73,14.8,275.3,-0.3,10.9,-4.1,4.0,-10.0,214.8,0.8,45.6,-8.3,4.0,3.4,0.5
Scottie Barnes,TOR,78,33.6,644.6,-0.4,96.7,-0.3,54.4,-7.1,314.0,1.4,179.4,-4.6,18.2,7.5,5.9
Jaden McDaniels,MIN,72,31.7,490.4,-0.5,42.8,-3.2,22.5,-14.3,353.1,1.8,72.0,-10.1,14.9,4.3,2.7
Davion Mitchell,MIA,69,28.6,435.5,-0.6,101.8,-3.2,26.8,-26.5,261.8,3.4,45.1,-19.1,9.3,2.6,6.5
Jamal Shead,TOR,80,22.7,423.4,-0.6,120.7,-0.2,20.4,-22.5,232.0,1.9,50.2,-17.9,6.7,1.8,5.4
Kel'el Ware,MIA,76,22.0,364.4,-0.8,13.0,-2.4,10.7,-5.2,103.4,0.6,237.4,-2.7,10.9,8.9,0.7
Bobby Portis,MIL,67,24.1,402.0,-0.9,35.9,2.1,27.1,-4.8,231.8,0.2,107.2,-4.4,13.7,6.4,1.6
Nicolas Batum,LAC,74,17.5,358.4,-0.9,16.1,-4.2,1.0,-35.5,290.7,0.5,50.5,-16.5,4.0,2.5,0.9
Javonte Green,DET,80,17.7,339.7,-1.0,16.5,-4.6,6.2,-8.8,238.7,0.7,78.3,-6.2,6.9,2.8,0.7
Tyus Jones,DEN,65,14.7,240.9,-1.1,61.4,-2.2,4.6,-38.5,155.0,1.9,19.9,-27.7,3.0,1.2,2.4
Josh Okogie,HOU,78,17.4,339.3,-1.1,14.6,-2.1,6.2,-6.4,247.7,-0.8,70.9,-3.4,4.5,2.6,0.9
Jaime Jaquez Jr.,MIA,73,28.3,450.0,-1.2,92.0,-3.0,46.8,-12.4,221.7,1.9,89.6,-9.6,15.3,5.0,4.7
Luguentz Dort,OKC,68,26.8,415.3,-1.2,29.9,-3.4,8.8,-15.1,310.8,0.1,65.8,-14.2,8.4,3.5,1.2
Sion James,CHA,81,22.5,492.2,-1.2,65.8,-0.5,11.7,-24.0,338.4,0.5,76.3,-17.7,5.3,3.5,2.0
Cody Williams,UTA,66,24.4,342.7,-1.2,32.1,-7.5,12.1,-16.8,229.7,1.6,68.8,-14.5,8.8,3.0,2.0
Evan Mobley,CLE,64,32.1,452.9,-1.3,54.5,2.8,41.6,-10.6,198.1,2.0,158.7,-8.5,18.2,9.0,3.6
Jaylin Williams,OKC,65,19.7,290.2,-1.3,36.0,1.8,6.1,-8.3,192.6,0.3,55.5,-6.5,7.2,5.5,2.4
Bruce Brown,DEN,81,24.4,483.6,-1.4,64.7,-1.0,14.4,-16.2,274.1,1.1,130.5,-14.6,8.0,3.9,2.1
Jordan Miller,LAC,60,22.0,300.1,-1.4,41.7,-1.6,17.4,-14.2,197.6,1.4,43.4,-12.8,10.0,3.0,2.3
Marcus Smart,LAL,62,28.5,372.8,-1.4,54.5,1.0,11.3,-18.1,270.5,-0.7,36.5,-16.3,9.3,2.8,3.0
Brandon Williams,DAL,64,22.2,343.6,-1.4,106.2,-3.6,30.0,-22.3,174.6,4.0,32.8,-14.9,13.0,3.0,4.0
Onyeka Okongwu,ATL,74,31.1,505.1,-1.5,44.8,2.3,20.1,-8.0,276.2,-0.2,163.9,-7.4,15.2,7.6,3.1
Guerschon Yabusele,CHI,65,15.2,235.6,-1.5,17.1,3.0,6.6,-7.0,139.3,-0.4,72.6,-7.8,5.6,3.5,1.0
Ryan Dunn,PHX,70,19.4,321.0,-1.5,19.8,-7.0,8.4,-18.5,230.5,0.4,62.3,-12.1,5.8,4.2,1.5
Noah Penda,ORL,57,13.1,178.6,-1.7,13.9,-2.6,7.1,-8.7,123.7,0.2,33.9,-10.4,3.9,2.2,1.2
Taylor Hendricks,MEM,58,18.9,244.6,-1.7,10.5,-4.9,7.1,-5.7,173.1,-0.2,53.9,-4.8,7.3,3.8,0.9
Kyle Kuzma,MIL,68,26.3,431.5,-1.7,45.8,-0.3,21.4,-15.2,272.1,0.5,92.2,-12.7,12.9,4.5,2.7
Myles Turner,MIL,70,26.9,481.3,-1.7,35.2,2.9,11.2,-7.7,301.5,-0.2,133.4,-7.8,11.9,5.3,1.4
Kobe Sanders,LAC,68,19.9,341.5,-1.9,43.0,2.3,11.3,-15.8,250.7,-0.8,36.6,-16.3,7.3,2.3,1.6
Derik Queen,NOP,80,25.1,481.2,-1.9,85.3,2.8,37.7,-11.0,224.1,-0.5,134.1,-8.6,11.8,7.0,3.7
Caleb Martin,DAL,56,15.0,216.2,-1.9,19.0,-6.9,8.1,-16.5,142.3,0.6,46.9,-11.1,4.0,2.5,1.4
Micah Peavy,NOP,60,15.2,229.4,-2.0,11.6,-8.5,8.2,-15.3,179.1,-0.5,30.5,-10.9,4.4,1.9,1.0
Jordan Walsh,BOS,68,17.9,312.2,-2.1,13.9,-7.4,4.9,-7.4,235.4,-0.7,58.0,-9.6,5.4,4.0,0.8
Ryan Nembhard,DAL,59,19.5,312.6,-2.2,109.0,-2.8,20.4,-23.4,160.0,1.3,23.2,-19.4,6.6,2.3,5.3
Carter Bryant,SAS,70,11.7,179.7,-2.4,11.8,-5.7,4.2,-9.4,133.3,-1.1,30.5,-10.7,4.3,2.5,0.7
Naji Marshall,DAL,73,29.6,547.1,-2.5,76.2,-4.9,29.0,-21.1,359.7,0.3,82.1,-10.8,15.4,4.7,3.3
Quinten Post,GSW,67,17.3,295.9,-2.6,24.7,3.7,10.5,-15.1,182.7,0.1,78.1,-13.6,7.7,4.0,1.4
John Collins,LAC,69,27.1,455.4,-2.6,17.6,-1.4,16.8,-4.9,315.8,-1.4,105.2,-6.2,13.6,5.3,1.0
Jabari Walker,PHI,63,11.9,186.3,-2.7,7.8,0.3,4.5,1.5,104.1,-1.5,70.0,-0.2,4.3,3.0,0.5
Mohamed Diawara,NYK,63,9.9,139.4,-2.7,15.4,-7.2,3.8,-25.1,97.0,-0.9,23.1,-22.5,3.8,1.4,0.8
Thomas Bryant,CLE,58,12.6,164.8,-2.7,12.4,2.9,4.3,-11.1,79.7,0.1,68.4,-10.1,6.3,3.5,0.6
Jaylen Clark,MIN,67,13.1,198.8,-2.8,8.7,-1.1,3.5,-9.5,140.8,-1.9,45.7,-9.1,4.1,1.8,0.6
Kris Dunn,LAC,82,27.2,550.0,-3.0,89.7,1.2,19.2,-19.8,353.5,-1.8,87.6,-18.7,7.3,3.3,3.6
Sandro Mamukelashvili,TOR,78,21.8,409.9,-3.0,32.3,-1.3,13.5,-9.6,250.3,-0.6,113.9,-9.3,11.2,4.9,1.9
Russell Westbrook,SAC,64,29.0,436.3,-3.0,127.7,-3.2,37.2,-13.5,229.7,-0.9,41.8,-8.9,15.2,5.4,6.7
Karlo Matković,NOP,61,14.5,203.2,-3.0,7.5,-5.2,4.9,-12.8,127.0,-2.2,63.8,-7.4,5.6,3.7,0.7
Mouhamed Gueye,ATL,76,15.4,271.2,-3.1,11.1,-3.8,8.6,-9.3,149.0,-2.5,102.5,-9.9,4.5,3.6,0.9
Brook Lopez,LAC,75,21.8,385.5,-3.2,25.6,2.6,10.2,-13.1,236.5,-1.8,113.1,-10.9,8.5,3.6,1.3
Jock Landale,ATL,67,22.2,357.1,-3.2,18.2,0.5,15.6,-7.7,165.8,-1.4,157.4,-9.4,10.6,5.7,1.7
Jalen Duren,DET,68,28.2,445.5,-3.3,29.0,1.4,31.7,-4.2,145.6,-2.3,239.2,-6.2,19.3,10.5,2.0
